Rank,Name,Park,Location,Supplier,Year,Awarded
1,Fury 325,Carowinds,"Charlotte, North Carolina",B&M,2015,2022
2,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain Const.,2018,2022
3,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2022
4,Iron Gwazi,Busch Gardens Tampa Bay,"Tampa, Florida",Rocky Mountain Const.,2022,2022
5,Jurassic World VelociCoaster,Universal’s Islands of Adventure,"Orlando, Florida",Intamin,2021,2022
6,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2022
7,Superman The Ride,Six Flags New England,"Agawam, Massachusetts",Intamin,2000,2022
8,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1999,2022
9,Intimidator 305,Kings Dominion,"Doswell, Virginia",Intamin,2010,2022
10,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2022
11,Lightning Rod,Dollywood,"Pigeon Forge, Tennessee",Rocky Mountain Const.,2016,2022
12,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2022
13,Phantom’s Revenge,Kennywood,"West Mifflin, Pennsylvania",Morgan/Arrow,2001,2022
14,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain Const.,2013,2022
15,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,2022
16,Mako,SeaWorld Orlando,"Orlando, Florida",B&M,2016,2022
17,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2022
18,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain Const.,2015,2022
19,Candymonium,Hersheypark,"Hershey, Pennsylvania",B&M,2020,2022
20,Orion,Kings Island,"Mason, Ohio",B&M,2020,2022
21,Nitro,Six Flags Great Adventure,"Jackson, New Jersey",B&M,2001,2022
22,Time Traveler,Silver Dollar City,"Branson, Missouri",Mack,2018,2022
23,Skyrush,Hersheypark,"Hershey, Pennsylvania",Intamin,2012,2022
24,Hagrid’s M. C. Motorbike Adv.,Universal’s Islands of Adventure,"Orlando, Florida",Intamin,2019,2022
25,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2022
26,Zadra,Energylandia,"Zator, Poland",Rocky Mountain Const.,2019,2022
27,Intimidator,Carowinds,"Charlotte, North Carolina",B&M,2010,2022
28,Riddler Mindbender,Six Flags Over Georgia,"Austell, Georgia",Schwarzkopf,1978,2022
29,Montu,Busch Gardens Tampa Bay,"Tampa, Florida",B&M,1996,2022
30,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2022
31,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2022
32,X2,Six Flags Magic Mountain,"Valencia, California",Arrow,2001,2022
33,Blue Fire Megacoaster,Europa-Park,"Rust, Germany",Mack,2009,2022
34,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,2022
35,Steel Curtain,Kennywood,"West Mifflin, Pennsylvania",S&S,2019,2022
36,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997,2022
37,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2022
38,Raging Bull,Six Flags Great America,"Gurnee, Illinois",B&M,1999,2022
39,Ride to Happiness,Plopsaland De Panne,"De Panne, Belgium",Mack,2021,2022
40,Twisted Timbers,Kings Dominion,"Doswell, Virginia",Rocky Mountain Const.,2018,2022
41,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006,2022
42,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain Const.,2011,2022
43,Pantheon,Busch Gardens Williamsburg,"Williamsburg, Virginia",Intamin,2022,2022
44,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,2022
45,Wicked Cyclone,Six Flags New England,"Agawam, Massachusetts",Rocky Mountain Const.,2015,2022
46,Steel Dragon 2000,Nagahsima Spa Land,"Kuwana, Japan",Morgan,2000,2022
47,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,2022
48,Jetline,Gröna Lund,"Stockholm, Sweden",Schwarzkopf,1988,2022
49,Shamabala,PortAventura,"Salou, Spain",B&M,2012,2022
50,Whizzer,Six Flags Great America,"Gurnee, Illinois",Schwarzkopf,1976,2022
1,Fury 325,Carowinds,"Charlotte, North Carolina",B&M,2015,2023
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2023
3,Jurassic World VelociCoaster,Universal Islands of Adventure,"Orlando, Florida",Intamin,2021,2023
4,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain Const.,2018,2023
5,Iron Gwazi,Busch Gardens Tampa Bay,"Tampa, Florida",Rocky Mountain Const.,2022,2023
6,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2023
