Rank,Name,Park,Location,Supplier,Year,Awarded,Type,Design,Status,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Duration,G-Force,Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,Designer
17,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2022,Steel,Sit Down,Operating,4/18/2009,Mason,Ohio,United States,Bolliger & Mabillard,"5,282.00",230.0,80.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Splash Effect']",215.0,3:00,,74.0,,,,,,,,
18,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain Const.,2015,2022,Steel,Sit Down,Operating,5/23/2015,Valencia,California,United States,Rocky Mountain Construction,"4,990.00",121.0,57.0,2.0,"['Chain Lift Hill', 'High Five', 'Zero-G Roll', 'Chain Lift Hill', 'High Five', 'Top Gun Stall']",128.0,3:40,,80.0,,,,,,,,
19,Candymonium,Hersheypark,"Hershey, Pennsylvania",B&M,2020,2022,Steel,Sit Down,Operating,7/3/2020,Hershey,Pennsylvania,United States,Bolliger & Mabillard,"4,636.00",210.0,76.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill']",,2:26,,77.3,,,,7.0,,,,
20,Orion,Kings Island,"Mason, Ohio",B&M,2020,2022,Steel,Sit Down,Operating,7/2/2020,Mason,Ohio,United States,Bolliger & Mabillard,"5,321.00",287.0,91.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",300.0,3:00,,85.0,,,,,,,,
21,Nitro,Six Flags Great Adventure,"Jackson, New Jersey",B&M,2001,2022,Steel,Sit Down,Operating,4/7/2001,Jackson,New Jersey,United States,Bolliger & Mabillard,"5,394.00",230.0,80.0,0.0,"['Chain Lift Hill', 'Block Brake']",215.0,2:20,,,,,,,,,,
22,Time Traveler,Silver Dollar City,"Branson, Missouri",Mack,2018,2022,Steel,Sit Down,Operating,3/14/2018,Branson,Missouri,United States,Mack Rides GmbH & Co KG,"3,020.00",100.0,50.3,3.0,"['Dive Loop', 'LSM Launch', 'Loop', 'Zero-G Roll', 'LSM Boost']",90.0,1:57,,90.0,,,,,14.0,,,
23,Skyrush,Hersheypark,"Hershey, Pennsylvania",Intamin,2012,2022,Steel,Sit Down,Operating,5/26/2012,Hershey,Pennsylvania,United States,Intamin Amusement Rides,"3,600.00",200.0,75.0,0.0,['Cable Lift Hill'],,,,85.0,,,,,,,,
25,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2022,Steel,Sit Down,Operating,5/6/1989,Sandusky,Ohio,United States,Arrow Dynamics,"5,106.00",205.0,72.0,0.0,"['Chain Lift Hill', 'Tunnel', 'Tunnel', 'Tunnel']",194.7,2:00,,60.0,,,,,,,,
26,Zadra,Energylandia,"Zator, Poland",Rocky Mountain Const.,2019,2022,Steel,Sit Down,Operating,8/22/2019,Zator,Małopolskie,Poland,Rocky Mountain Construction,"4,317.60",206.0,75.2,3.0,"['Chain Lift Hill', 'Zero-G Stall', 'Zero-G Roll (variant)', 'Zero-G Roll (variant)']",,1:50,4.0,,,,,,,,,
27,Intimidator,Carowinds,"Charlotte, North Carolina",B&M,2010,2022,Steel,Sit Down,Operating,3/27/2010,Charlotte,North Carolina,United States,Bolliger & Mabillard,"5,316.00",232.0,75.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",211.0,3:33,,74.0,,,,,,,,
28,Riddler Mindbender,Six Flags Over Georgia,"Austell, Georgia",Schwarzkopf,1978,2022,Steel,Sit Down,Operating,3/31/1978,Austell,Georgia,United States,Schwarzkopf,"3,253.00",80.0,50.0,2.0,"['Chain Lift Hill', 'Loop', 'Loop', 'Helix', 'Tunnel']",,2:33,,,,,,,,,,
30,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2022,Steel,Sit Down,Operating,4/26/2014,Gothenburg,Västra Götaland,Sweden,Mack Rides GmbH & Co KG,"4,530.80",134.5,62.1,7.0,"['Corkscrew', 'LSM Launch (rolling)', 'Corkscrew', 'Norwegian Loop', 'Zero-G Roll', 'LSM Boost', 'Top Hat - Inside', 'In-Line Twist']",,2:10,4.3,,,,,,,,,
32,X2,Six Flags Magic Mountain,"Valencia, California",Arrow,2001,2022,Steel,Wing,Operating,1/12/2002,Valencia,California,United States,Arrow Dynamics,"3,610.00",175.0,76.0,2.0,"['Chain Lift Hill', 'Inside Raven Turn', 'Fly To Lie', 'Outside Raven Turn', 'Fly To Lie']",215.0,,4.0,88.5,,,,,,,,
35,Steel Curtain,Kennywood,"West Mifflin, Pennsylvania",S&S,2019,2022,Steel,Sit Down,Operating,7/13/2019,West Mifflin,Pennsylvania,United States,S&S Worldwide,"4,000.00",220.0,75.0,8.0,"['Chain Lift Hill', 'Drachen Fire Dive Drop', 'Banana Roll', 'Sea Serpent', 'Dive Loop', 'Zero-G Stall', 'Corkscrew', 'Cutback']",,2:00,,,,,,,,,,
36,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997,2022,Steel,Inverted,Operating,3/22/1997,Williamsburg,Virginia,United States,Bolliger & Mabillard,"3,828.00",195.0,67.0,6.0,"['Chain Lift Hill', 'Immelmann', 'Loop', 'Tunnel', 'Cobra Roll', 'Block Brake', 'Zero-G Roll', 'Corkscrew']",170.0,3:10,3.7,,,,,,,,,
37,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2022,Steel,Inverted,Operating,4/18/2014,Mason,Ohio,United States,Bolliger & Mabillard,"4,124.00",167.0,68.0,7.0,"['Chain Lift Hill', 'Dive Loop', 'Loop', 'Zero-G Roll', 'Pretzel Knot', 'Loop', 'In-Line Twist']",150.0,2:40,,,,,,,,,,
38,Raging Bull,Six Flags Great America,"Gurnee, Illinois",B&M,1999,2022,Steel,Sit Down,Operating,5/1/1999,Gurnee,Illinois,United States,Bolliger & Mabillard,"5,057.00",202.0,73.0,0.0,"['Chain Lift Hill', 'Block Brake']",208.0,2:30,,65.0,,,,,,,,
39,Ride to Happiness,Plopsaland De Panne,"De Panne, Belgium",Mack,2021,2022,Steel,Sit Down,Operating,7/1/2021,West Flanders,Flemish Region,Belgium,Mack Rides GmbH & Co KG,"3,018.40",108.3,55.9,5.0,"['Heartline Roll', 'LSM Launch', 'Banana Roll', 'Loop', 'Zero-G Roll', 'LSM Boost', 'Step-Up Under Flip']",,,,,,,,,,,,
40,Twisted Timbers,Kings Dominion,"Doswell, Virginia",Rocky Mountain Const.,2018,2022,Steel,Sit Down,Operating,3/24/2018,Doswell,Virginia,United States,Rocky Mountain Construction,"3,361.00",111.0,54.0,3.0,"['Chain Lift Hill', 'Barrel Roll Downdrop', 'Over-Banked Curve', 'Cutback', 'Zero-G Roll']",,,,,,,,,,,,
41,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006,2022,Steel,Sit Down,Operating,4/1/2006,Austell,Georgia,United States,Bolliger & Mabillard,"4,480.00",200.0,70.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Helix', 'Hill', 'Horseshoe', 'Hill', 'Hill', 'Hill']",175.0,,,,,,,,,,,
42,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain Const.,2011,2022,Steel,Sit Down,Operating,4/22/2011,Arlington,Texas,United States,Rocky Mountain Construction,"4,200.00",153.0,65.0,0.0,"['Chain Lift Hill', 'Over-Banked Curve']",147.0,,,79.0,,,,,,,,
43,Pantheon,Busch Gardens Williamsburg,"Williamsburg, Virginia",Intamin,2022,2022,Steel,Sit Down,Operating,3/25/2022,Williamsburg,Virginia,United States,Intamin Amusement Rides,"3,328.00",178.0,73.0,2.0,"['LSM Launch (rolling)', 'Zero-G Winder', 'LSM Boost (multi-pass)', 'Vertical Rollback', 'Top Hat - Outside', 'Outward Banked Airtime Hill', 'Zero-G Stall']",,,,95.0,,,,,,,,
44,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,2022,Steel,Inverted,Operating,5/24/2006,Brühl,North Rhine-Westphalia,Germany,Bolliger & Mabillard,"2,519.70",85.3,49.7,4.0,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Jr. Immelmann', 'Corkscrew', 'Corkscrew']",88.6,,4.0,,,,,,,,,
45,Wicked Cyclone,Six Flags New England,"Agawam, Massachusetts",Rocky Mountain Const.,2015,2022,Steel,Sit Down,Operating,5/24/2015,Agawam,Massachusetts,United States,Rocky Mountain Construction,"3,320.00",109.0,55.0,3.0,"['Chain Lift Hill', 'Zero-G Stall', 'Zero-G Roll', 'Zero-G Roll']",,,,78.0,,,,,,,,
47,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,2022,Steel,Sit Down,Operating,4/22/1978,Arlington,Texas,United States,Schwarzkopf,"3,600.00",116.0,60.0,2.0,"['Chain Lift Hill', 'Loop', 'Loop']",,2:00,,,,,,,,,,
48,Jetline,Gröna Lund,"Stockholm, Sweden",Schwarzkopf,1988,2022,Steel,Sit Down,SBNO,4/23/1988,Stockholm,Stockholm,Sweden,Zierer,"2,624.70",105.0,55.9,0.0,"['Chain Lift Hill', 'Tunnel', 'Block Brake', 'Block Brake', 'Block Brake', 'Tunnel']",,1:30,4.5,80.0,,,,,,,,
50,Whizzer,Six Flags Great America,"Gurnee, Illinois",Schwarzkopf,1976,2022,Steel,Sit Down,Operating,1976,Gurnee,Illinois,United States,Schwarzkopf,"3,100.00",70.0,42.0,0.0,['Electric Spiral Lift'],64.0,2:00,,,,,,,,,,
1,Fury 325,Carowinds,"Charlotte, North Carolina",B&M,2015,2023,Steel,Sit Down,Operating,3/28/2015,Charlotte,North Carolina,United States,Bolliger & Mabillard,"6,602.00",325.0,95.0,0.0,['Chain Lift Hill'],320.0,,,81.0,,,,,,,,
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2023,Steel,Sit Down,Operating,5/13/2000,Sandusky,Ohio,United States,Intamin Amusement Rides,"6,595.00",310.0,93.0,0.0,"['Cable Lift Hill', 'Over-Banked Curve', 'Tunnel', 'Hill', 'Over-Banked Curve', 'Over-Banked Curve', 'Hill', 'Tunnel', 'Over-Banked Curve']",300.0,2:20,,80.0,,,,,,,,
4,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain Const.,2018,2023,Steel,Sit Down,Operating,5/5/2018,Sandusky,Ohio,United States,Rocky Mountain Construction,"5,740.00",205.0,74.0,4.0,"['Chain Lift Hill', 'Outward Banked Airtime Hill', 'Zero-G Roll (variant)', 'Zero-G Stall', 'Block Brake', 'Zero-G Roll', 'Zero-G Roll', 'Over-Banked Curve']",200.0,2:30,,90.0,,,,,,,,
6,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2023,Steel,Sit Down,Operating,6/18/2001,Hassloch,Rhineland-Palatinate,Germany,Intamin Amusement Rides,"4,002.60",173.9,74.6,0.0,"['Cable Lift Hill', 'Over-Banked Curve']",,1:15,4.5,82.0,,,,,,,,
8,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2023,Steel,Sit Down,Operating,6/30/2016,Brühl,North Rhine-Westphalia,Germany,Intamin Amusement Rides,"4,330.80",98.4,72.7,0.0,"['LSM Launch', 'LSM Boost']",,,,,,,,,,,,
tie-9,Intimidator 305,Kings Dominion,"Doswell, Virginia",Intamin,2010,2023,Steel,Sit Down,Operating,4/2/2010,Doswell,Virginia,United States,Intamin Amusement Rides,"5,100.00",305.0,90.0,0.0,['Cable Lift Hill'],300.0,3:00,,85.0,,,,,,,,
tie-9,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2023,Steel,Sit Down,Operating,5/26/2007,Sandusky,Ohio,United States,Intamin Amusement Rides,"4,450.00",105.0,70.0,2.0,"['LSM Lift Hill', 'Twisted Horseshoe Roll', 'Tunnel', 'LSM Launch (rolling)', 'Over-Banked Curve', 'Over-Banked Curve']",100.0,2:30,,95.0,,,,,,,,
14,Lightning Rod,Dollywood,"Pigeon Forge, Tennessee",Rocky Mountain Const.,2016,2023,Steel,Sit Down,Operating,6/13/2016,Pigeon Forge,Tennessee,United States,Rocky Mountain Construction,"3,800.00",,73.0,0.0,['Chain Lift Hill'],165.0,,3.5,73.0,,,,,,,,
tie-15,Intimidator,Carowinds,"Charlotte, North Carolina",B&M,2010,2023,Steel,Sit Down,Operating,3/27/2010,Charlotte,North Carolina,United States,Bolliger & Mabillard,"5,316.00",232.0,75.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",211.0,3:33,,74.0,,,,,,,,
tie-15,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain Const.,2013,2023,Steel,Sit Down,Operating,5/25/2013,San Antonio,Texas,United States,Rocky Mountain Construction,"3,266.00",179.0,70.0,1.0,"['Chain Lift Hill', 'Over-Banked Curve', 'Over-Banked Curve', 'Zero-G Roll', 'Over-Banked Curve', 'Over-Banked Curve', 'Tunnel']",171.0,,,81.0,,,,,,,,
17,Mako,SeaWorld Orlando,"Orlando, Florida",B&M,2016,2023,Steel,Sit Down,Operating,6/10/2016,Orlando,Florida,United States,Bolliger & Mabillard,"4,760.00",200.0,73.0,0.0,"['Chain Lift Hill', 'Block Brake']",200.0,,,,,,,,,,,
18,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2023,Steel,Sit Down,Operating,4/26/2014,Gothenburg,Västra Götaland,Sweden,Mack Rides GmbH & Co KG,"4,530.80",134.5,62.1,7.0,"['Corkscrew', 'LSM Launch (rolling)', 'Corkscrew', 'Norwegian Loop', 'Zero-G Roll', 'LSM Boost', 'Top Hat - Inside', 'In-Line Twist']",,2:10,4.3,,,,,,,,,
20,Nitro,Six Flags Great Adventure,"Jackson, New Jersey",B&M,2001,2023,Steel,Sit Down,Operating,4/7/2001,Jackson,New Jersey,United States,Bolliger & Mabillard,"5,394.00",230.0,80.0,0.0,"['Chain Lift Hill', 'Block Brake']",215.0,2:20,,,,,,,,,,
21,X2,Six Flags Magic Mountain,"Valencia, California",Arrow,2001,2023,Steel,Wing,Operating,1/12/2002,Valencia,California,United States,Arrow Dynamics,"3,610.00",175.0,76.0,2.0,"['Chain Lift Hill', 'Inside Raven Turn', 'Fly To Lie', 'Outside Raven Turn', 'Fly To Lie']",215.0,,4.0,88.5,,,,,,,,
22,Time Traveler,Silver Dollar City,"Branson, Missouri",Mack,2018,2023,Steel,Sit Down,Operating,3/14/2018,Branson,Missouri,United States,Mack Rides GmbH & Co KG,"3,020.00",100.0,50.3,3.0,"['Dive Loop', 'LSM Launch', 'Loop', 'Zero-G Roll', 'LSM Boost']",90.0,1:57,,90.0,,,,,14.0,,,
24,Candymonium,Hersheypark,"Hershey, Pennsylvania",B&M,2020,2023,Steel,Sit Down,Operating,7/3/2020,Hershey,Pennsylvania,United States,Bolliger & Mabillard,"4,636.00",210.0,76.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill']",,2:26,,77.3,,,,7.0,,,,
25,ArieForce One,Fun Spot America Atlanta,"Fayetteville, Georgia",Rocky Mountain Const.,2023,2023,Steel,Sit Down,Operating,3/31/2023,Fayetteville,Georgia,United States,Rocky Mountain Construction,"3,400.00",155.0,64.0,4.0,"['Chain Lift Hill', 'Dive Loop', 'Zero-G Stall', 'Outward Banked Airtime Hill', 'Zero-G Roll', 'Barrel Roll']",146.0,,,83.0,,,,,,,,
26,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2023,Steel,Sit Down,Operating,4/18/2009,Mason,Ohio,United States,Bolliger & Mabillard,"5,282.00",230.0,80.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Splash Effect']",215.0,3:00,,74.0,,,,,,,,
27,Orion,Kings Island,"Mason, Ohio",B&M,2020,2023,Steel,Sit Down,Operating,7/2/2020,Mason,Ohio,United States,Bolliger & Mabillard,"5,321.00",287.0,91.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",300.0,3:00,,85.0,,,,,,,,
28,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain Const.,2015,2023,Steel,Sit Down,Operating,5/23/2015,Valencia,California,United States,Rocky Mountain Construction,"4,990.00",121.0,57.0,2.0,"['Chain Lift Hill', 'High Five', 'Zero-G Roll', 'Chain Lift Hill', 'High Five', 'Top Gun Stall']",128.0,3:40,,80.0,,,,,,,,
29,Skyrush,Hersheypark,"Hershey, Pennsylvania",Intamin,2012,2023,Steel,Sit Down,Operating,5/26/2012,Hershey,Pennsylvania,United States,Intamin Amusement Rides,"3,600.00",200.0,75.0,0.0,['Cable Lift Hill'],,,,85.0,,,,,,,,
30,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2023,Steel,Sit Down,Operating,5/6/1989,Sandusky,Ohio,United States,Arrow Dynamics,"5,106.00",205.0,72.0,0.0,"['Chain Lift Hill', 'Tunnel', 'Tunnel', 'Tunnel']",194.7,2:00,,60.0,,,,,,,,
31,Ride to Happiness,Plopsaland De Panne,"De Panne, Belgium",Mack,2021,2023,Steel,Sit Down,Operating,7/1/2021,West Flanders,Flemish Region,Belgium,Mack Rides GmbH & Co KG,"3,018.40",108.3,55.9,5.0,"['Heartline Roll', 'LSM Launch', 'Banana Roll', 'Loop', 'Zero-G Roll', 'LSM Boost', 'Step-Up Under Flip']",,,,,,,,,,,,
32,Zadra,Energylandia,"Zator, Poland",Rocky Mountain Const.,2019,2023,Steel,Sit Down,Operating,8/22/2019,Zator,Małopolskie,Poland,Rocky Mountain Construction,"4,317.60",206.0,75.2,3.0,"['Chain Lift Hill', 'Zero-G Stall', 'Zero-G Roll (variant)', 'Zero-G Roll (variant)']",,1:50,4.0,,,,,,,,,
33,Fønix,Fårup Sommerland,"Blokhus, Denmark",Vekoma,2022,2023,Steel,Sit Down,Operating,4/9/2022,Blokhus,Nordjylland,Denmark,Vekoma,"2,969.20",131.2,59.0,3.0,"['Chain Lift Hill', 'Top Hat - Inside', 'Heartline Roll', 'Corkscrew']",,,,,,,,14.0,,,,
36,Steel Curtain,Kennywood,"West Mifflin, Pennsylvania",S&S,2019,2023,Steel,Sit Down,Operating,7/13/2019,West Mifflin,Pennsylvania,United States,S&S Worldwide,"4,000.00",220.0,75.0,8.0,"['Chain Lift Hill', 'Drachen Fire Dive Drop', 'Banana Roll', 'Sea Serpent', 'Dive Loop', 'Zero-G Stall', 'Corkscrew', 'Cutback']",,2:00,,,,,,,,,,
37,Big Bear Mountain,Dollywood,"Pigeon Forge, Tennessee",Vekoma,2023,2023,Steel,Sit Down,Operating,5/12/2023,Pigeon Forge,Tennessee,United States,Vekoma,"3,990.00",66.0,48.0,0.0,"['LIM Launch', 'LIM Boost', 'LIM Boost']",,,,,,,,,,,,
38,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain Const.,2011,2023,Steel,Sit Down,Operating,4/22/2011,Arlington,Texas,United States,Rocky Mountain Construction,"4,200.00",153.0,65.0,0.0,"['Chain Lift Hill', 'Over-Banked Curve']",147.0,,,79.0,,,,,,,,
tie-41,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2023,Steel,Inverted,Operating,4/18/2014,Mason,Ohio,United States,Bolliger & Mabillard,"4,124.00",167.0,68.0,7.0,"['Chain Lift Hill', 'Dive Loop', 'Loop', 'Zero-G Roll', 'Pretzel Knot', 'Loop', 'In-Line Twist']",150.0,2:40,,,,,,,,,,
tie-41,Riddler Mindbender,Six Flags Over Georgia,"Austell, Georgia",Schwarzkopf,1978,2023,Steel,Sit Down,Operating,3/31/1978,Austell,Georgia,United States,Schwarzkopf,"3,253.00",80.0,50.0,2.0,"['Chain Lift Hill', 'Loop', 'Loop', 'Helix', 'Tunnel']",,2:33,,,,,,,,,,
tie-43,Steel Dragon 2000,Nagashima Spa Land,"Nagashima, Japan",Morgan,2000,2023,Steel,Sit Down,Operating,8/1/2000,Kuwana,Mie,Japan,"D.H. Morgan Manufacturing, Inc.","8,133.20",318.2,95.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Block Brake', 'Tunnel', 'Tunnel']",306.8,4:00,,68.0,,,,,,,,
tie-43,Twisted Timbers,Kings Dominion,"Doswell, Virginia",Rocky Mountain Const.,2018,2023,Steel,Sit Down,Operating,3/24/2018,Doswell,Virginia,United States,Rocky Mountain Construction,"3,361.00",111.0,54.0,3.0,"['Chain Lift Hill', 'Barrel Roll Downdrop', 'Over-Banked Curve', 'Cutback', 'Zero-G Roll']",,,,,,,,,,,,
45,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006,2023,Steel,Sit Down,Operating,4/1/2006,Austell,Georgia,United States,Bolliger & Mabillard,"4,480.00",200.0,70.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Helix', 'Hill', 'Horseshoe', 'Hill', 'Hill', 'Hill']",175.0,,,,,,,,,,,
46,F.L.Y.,Phantasialand,"Brühl, Germany",Vekoma,2020,2023,Steel,Flying,Operating,9/17/2020,Brühl,North Rhine-Westphalia,Germany,Vekoma,"4,055.10",,48.5,2.0,"['Dark/Show Section', 'LSM Launch (rolling)', 'Corkscrew', 'LSM Boost', 'Corkscrew']",,,,,,,,,,,,
48,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997,2023,Steel,Inverted,Operating,3/22/1997,Williamsburg,Virginia,United States,Bolliger & Mabillard,"3,828.00",195.0,67.0,6.0,"['Chain Lift Hill', 'Immelmann', 'Loop', 'Tunnel', 'Cobra Roll', 'Block Brake', 'Zero-G Roll', 'Corkscrew']",170.0,3:10,3.7,,,,,,,,,
49,Pantheon,Busch Gardens Williamsburg,"Williamsburg, Virginia",Intamin,2022,2023,Steel,Sit Down,Operating,3/25/2022,Williamsburg,Virginia,United States,Intamin Amusement Rides,"3,328.00",178.0,73.0,2.0,"['LSM Launch (rolling)', 'Zero-G Winder', 'LSM Boost (multi-pass)', 'Vertical Rollback', 'Top Hat - Outside', 'Outward Banked Airtime Hill', 'Zero-G Stall']",,,,95.0,,,,,,,,
50,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,2023,Steel,Inverted,Operating,5/24/2006,Brühl,North Rhine-Westphalia,Germany,Bolliger & Mabillard,"2,519.70",85.3,49.7,4.0,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Jr. Immelmann', 'Corkscrew', 'Corkscrew']",88.6,,4.0,,,,,,,,,
1,Fury 325,Carowinds,"Charlotte, North Carolina",B&M,2015,2021,Steel,Sit Down,Operating,3/28/2015,Charlotte,North Carolina,United States,Bolliger & Mabillard,"6,602.00",325.0,95.0,0.0,['Chain Lift Hill'],320.0,,,81.0,,,,,,,,
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2021,Steel,Sit Down,Operating,5/13/2000,Sandusky,Ohio,United States,Intamin Amusement Rides,"6,595.00",310.0,93.0,0.0,"['Cable Lift Hill', 'Over-Banked Curve', 'Tunnel', 'Hill', 'Over-Banked Curve', 'Over-Banked Curve', 'Hill', 'Tunnel', 'Over-Banked Curve']",300.0,2:20,,80.0,,,,,,,,
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,2021,Steel,Sit Down,Operating,5/5/2018,Sandusky,Ohio,United States,Rocky Mountain Construction,"5,740.00",205.0,74.0,4.0,"['Chain Lift Hill', 'Outward Banked Airtime Hill', 'Zero-G Roll (variant)', 'Zero-G Stall', 'Block Brake', 'Zero-G Roll', 'Zero-G Roll', 'Over-Banked Curve']",200.0,2:30,,90.0,,,,,,,,
